date,feed,ep_num,title
2015-03-23T19:14:00+00:00,main,1,In A Galaxy Far Far Away… - The Phantom Podcast
2015-03-30T04:00:00+00:00,main,2,The Royalty Of Naboo - The Phantom Podcast
2015-04-06T04:00:00+00:00,main,3,The Jedi Council - The Phantom Podcast
2015-04-13T04:00:00+00:00,main,4,Commentary with Connor Ratliff - The Phantom Podcast
2015-04-20T16:52:00+00:00,main,5,Our Performance Review - The Phantom Podcast
2015-04-28T17:39:00+00:00,main,6,A Profile Of Jar Jar Binks And The Gungans - The Phantom Podcast
2015-05-04T17:52:00+00:00,main,7,The Podrace - The Phantom Podcast
2015-05-11T15:39:00+00:00,main,8,Merchandise - The Phantom Podcast
2015-05-19T20:23:00+00:00,main,9,Fan Fiction - The Phantom Podcast
2015-05-26T19:49:00+00:00,main,10,Final Thoughts - The Phantom Podcast
2015-06-01T17:21:00+00:00,main,11,Watch With Us - The Phantom Podcast
2015-06-08T17:56:00+00:00,main,12,Judging The Judge
2015-06-22T18:43:00+00:00,main,13,Unrest In The Galactic Senate - Attack Of The Podcast
2015-06-30T21:56:00+00:00,main,14,The Mysterious Planet Kamino - Attack Of The Podcast
2015-07-06T19:10:00+00:00,main,15,The Angst Of Anakin Skywalker - Attack Of The Podcast
2015-07-13T15:56:00+00:00,main,16,Romance with Rachel Lang - Attack Of The Podcast
2015-07-20T18:13:00+00:00,main,17,Count Dooku with Morgan Evans - Attack Of The Podcast
2015-07-29T23:04:00+00:00,main,18,Our Performance Review 2.0 - Attack Of The Podcast
2015-08-10T21:14:00+00:00,main,19,Politics - Attack Of The Podcast
2015-08-24T17:21:00+00:00,main,20,Digital Filmmaking with J.D. Amato - Attack Of The Podcast
2015-08-28T18:51:00+00:00,main,21,The Deleted Scenes with Chase Mitchell - Attack Of The Podcast
2015-09-08T16:32:00+00:00,main,22,"Watch With Us, Again - Attack Of The Podcast"
2015-09-14T18:21:00+00:00,main,23,The Podcastic Two
2015-09-21T20:23:00+00:00,main,24,The Beginning of The End - Revenge Of The Podcast
2015-09-28T16:40:00+00:00,main,25,The Downfall Of Anakin Skywalker - Revenge Of The Podcast
